histeq
buckets,10000
bitflips,16
runs,10
loads,438530
bucket_size,43

Architecture:                       x86_64
CPU op-mode(s):                     32-bit, 64-bit
Address sizes:                      48 bits physical, 48 bits virtual
Byte Order:                         Little Endian
CPU(s):                             256
On-line CPU(s) list:                0-255
Vendor ID:                          AuthenticAMD
Model name:                         AMD EPYC 7763 64-Core Processor
CPU family:                         25
Model:                              1
Thread(s) per core:                 2
Core(s) per socket:                 64
Socket(s):                          2
Stepping:                           1
BogoMIPS:                           4891.11
Flags:                              fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf rapl pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt tce topoext perfctr_core perfctr_nb bpext perfctr_llc mwaitx cpb cat_l3 cdp_l3 invpcid_single hw_pstate ssbd mba ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid cqm rdt_a rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 xsaves cqm_llc cqm_occup_llc cqm_mbm_total cqm_mbm_local clzero irperf xsaveerptr rdpru wbnoinvd amd_ppin brs arat npt lbrv svm_lock nrip_save tsc_scale vmcb_clean flushbyasid decodeassists pausefilter pfthreshold v_vmsave_vmload vgif v_spec_ctrl umip pku ospke vaes vpclmulqdq rdpid overflow_recov succor smca
Virtualization:                     AMD-V
L1d cache:                          4 MiB (128 instances)
L1i cache:                          4 MiB (128 instances)
L2 cache:                           64 MiB (128 instances)
L3 cache:                           512 MiB (16 instances)
NUMA node(s):                       8
NUMA node0 CPU(s):                  0-15,128-143
NUMA node1 CPU(s):                  16-31,144-159
NUMA node2 CPU(s):                  32-47,160-175
NUMA node3 CPU(s):                  48-63,176-191
NUMA node4 CPU(s):                  64-79,192-207
NUMA node5 CPU(s):                  80-95,208-223
NUMA node6 CPU(s):                  96-111,224-239
NUMA node7 CPU(s):                  112-127,240-255
Vulnerability Gather data sampling: Not affected
Vulnerability Itlb multihit:        Not affected
Vulnerability L1tf:                 Not affected
Vulnerability Mds:                  Not affected
Vulnerability Meltdown:             Not affected
Vulnerability Mmio stale data:      Not affected
Vulnerability Retbleed:             Not affected
Vulnerability Spec store bypass:    Mitigation; Speculative Store Bypass disabled via prctl
Vulnerability Spectre v1:           Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnerability Spectre v2:           Mitigation; Retpolines, IBPB conditional, IBRS_FW, STIBP always-on, RSB filling, PBRSB-eIBRS Not affected
Vulnerability Srbds:                Not affected
Vulnerability Tsx async abort:      Not affected

bucket_id,error_rate=0/32,error_rate=1/32,error_rate=2/32,error_rate=3/32,error_rate=4/32,error_rate=5/32,error_rate=6/32,error_rate=7/32,error_rate=8/32,error_rate=9/32,error_rate=10/32,error_rate=11/32,error_rate=12/32,error_rate=13/32,error_rate=14/32,error_rate=15/32,
1489,0.0,0.7917808560000001,0.964749606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1759,0.0,0.880976461,0.990803588,0.99480951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1849,0.0,0.806812989,0.9217100309999999,0.994700562,0.999825174,0.999518166,1.0,0.994460795,1.0,1.0,0.9999774819999999,1.0,1.0,1.0,1.0,1.0,
849,0.0,0.8945832900000001,0.9923795779999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1119,0.0,0.8393341379999999,0.9794932199999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1829,0.0,0.8674264519999999,0.9448435719999999,0.9988696709999999,0.996403877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
979,0.0,0.645930703,0.963872016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
669,0.0,0.8519734710000002,0.9877718169999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
589,0.0,0.751545743,0.9620732279999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
399,0.0,0.8293449970000001,0.929618205,0.999510341,0.9965833869999999,1.0,1.0,0.995176141,0.999657169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2279,0.0,0.798119638,0.9719437160000002,0.997062098,0.99743637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1919,0.0,0.797848703,0.904221755,0.9943797629999999,0.984422704,1.0,1.0,0.9946263550000001,0.998800065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
409,0.0,0.628744373,0.9338461690000001,0.9921742370000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2159,0.0,0.8037237709999999,0.9877086479999999,0.999663508,0.9953120200000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
639,0.0,0.8394871570000001,0.9694281279999999,0.9971290790000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1679,0.0,0.7729239320000001,0.9779165790000001,0.9883933039999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
909,0.0,0.790824258,0.977571648,0.985945894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998003069999999,
649,0.0,0.8197181030000001,0.96365225,0.9941016730000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1089,0.0,0.757111583,0.9860358440000001,0.99305695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
689,0.0,0.678634118,0.9734525699999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1009,0.0,0.6721955439999999,0.9596090070000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
749,0.0,0.647091849,0.9259579890000001,0.991379265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1059,0.0,0.8460713609999999,0.970794808,0.9939108940000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
719,0.0,0.6038521200000002,0.9490355220000002,0.991309156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
969,0.0,0.8144216310000001,0.989732023,0.987302912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
999,0.0,0.882681467,0.9797413630000001,0.994174559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1179,0.0,0.8169702750000001,0.964144645,0.99584943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1399,0.0,0.8052067449999999,0.9611448659999999,0.993677852,0.9976147189999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
529,0.0,0.626219971,0.9264268510000001,0.9913794710000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2439,0.0,0.78920329,0.941915875,0.986234542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2469,0.0,0.7824603299999999,0.9746595580000001,0.987854971,0.9938385069999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
579,0.0,0.8790646299999999,0.9738960539999999,0.9957293440000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
679,0.0,0.861142276,0.990905294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
439,0.0,0.659780876,0.951954461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
779,0.0,0.669374045,0.9571460430000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
619,0.0,0.670031359,0.966539461,0.9885791359999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
459,0.0,0.770439595,0.982645,0.985821301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2339,0.0,0.8600470530000001,0.9617555699999999,0.9925538009999999,0.9981873050000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
879,0.0,0.7569383670000001,0.9694258269999999,0.986611682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1149,0.0,0.788915532,0.9785833220000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1029,0.0,0.797572339,0.983297767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
819,0.0,0.776484624,0.990481288,0.989743627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
799,0.0,0.8586417189999999,0.988979466,0.996615021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
889,0.0,0.6438815520000001,0.9644814110000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
869,0.0,0.702559761,0.906493757,0.95366372,0.995842794,0.989138205,0.994247627,0.9944426639999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
769,0.0,0.830622518,1.0,0.996908178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
709,0.0,0.779511987,0.982214423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
809,0.0,0.6813335890000001,0.9260082490000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19,0.0,0.844212639,0.9832630590000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
839,0.0,0.705515422,0.878541295,0.966527097,0.9969375899999999,1.0,0.9953119530000001,1.0,1.0,1.0,0.9996527289999999,1.0,1.0,1.0,1.0,1.0,
829,0.0,0.7910520209999999,0.9777633230000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
859,0.0,0.643694328,0.954430629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
9,0.0,0.746628015,0.969555791,1.0,0.999585802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2560,0.0,0.752069629,0.968113894,0.9963917480000001,0.992482084,1.0,1.0,1.0,1.0,1.0,0.998533604,1.0,1.0,1.0,1.0,1.0,
2590,0.0,0.792248108,0.9652370789999999,1.0,0.9910159000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2670,0.0,0.719288648,0.948819621,1.0,0.9881537330000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2610,0.0,0.774097997,0.968238592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2700,0.0,0.7486012750000001,0.936864572,0.9889273239999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2620,0.0,0.7550542050000001,0.9593765809999999,1.0,0.9934957839999999,1.0,1.0,1.0,1.0,0.9999731439999999,1.0,1.0,1.0,1.0,1.0,1.0,
2640,0.0,0.7139310200000001,0.9544984550000001,0.988273124,0.9968100910000001,1.0,1.0,0.9928111559999999,1.0,1.0,1.0,0.9983758180000001,1.0,1.0,1.0,1.0,
2650,0.0,0.743725426,0.9735011069999999,0.98906162,1.0,1.0,1.0,0.999339723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2680,0.0,0.6865368700000001,0.956492027,0.9951107379999999,1.0,1.0,0.991173191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2580,0.0,0.8435110969999998,0.966084296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2730,0.0,0.787130589,0.963255414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2870,0.0,0.8069554529999999,0.9747926400000001,0.991305977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2630,0.0,0.779518555,0.951728572,0.9981815629999999,0.9836959740000001,1.0,0.999798052,1.0,1.0,0.9926717289999999,1.0,1.0,1.0,0.999915461,1.0,1.0,
2750,0.0,0.833520726,0.9696836359999998,0.9906187980000001,0.9910744969999999,0.997295409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2570,0.0,0.7981668889999999,0.954953669,0.9925770500000001,0.9923351260000001,1.0,1.0,1.0,1.0,0.99153318,1.0,1.0,1.0,1.0,1.0,1.0,
2780,0.0,0.8076874869999999,0.9625262190000001,1.0,0.994758894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2690,0.0,0.765391108,0.954939639,0.983841958,0.997684431,1.0,0.987021214,0.99976686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3020,0.0,0.7947924399999999,0.976001685,0.9983899430000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2710,0.0,0.7364901380000001,0.9163286769999999,0.9900721000000001,0.998642416,0.9956232249999999,0.993429856,1.0,0.996497422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2840,0.0,0.816027326,0.969156841,0.994767145,1.0,1.0,1.0,0.997098402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2600,0.0,0.809678825,0.978650937,0.988328199,0.991813582,1.0,0.9904167860000002,0.999164395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2660,0.0,0.7251770810000001,0.956363298,0.9831372330000001,0.9989425510000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994098969999999,1.0,1.0,
2990,0.0,0.8021034370000001,0.9694892370000001,0.995335431,1.0,1.0,0.995850645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2760,0.0,0.8373483539999999,0.970669515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3250,0.0,0.785504999,0.954055745,0.9916451399999999,0.983888954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2720,0.0,0.799454395,0.9511445069999999,0.9845211729999999,0.98747392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2740,0.0,0.853407704,0.972911287,1.0,0.9985286689999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2810,0.0,0.81679149,0.9581000319999999,0.996676781,1.0,1.0,0.996150125,1.0,1.0,0.9980000280000001,1.0,1.0,1.0,1.0,1.0,1.0,
2820,0.0,0.812899554,0.9885766300000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2900,0.0,0.778934908,0.9915674840000002,0.9989739240000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2800,0.0,0.841688371,0.969020877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3010,0.0,0.7832993450000002,0.9542846700000002,0.991474558,1.0,1.0,1.0,1.0,1.0,0.995967297,1.0,1.0,1.0,1.0,1.0,1.0,
3050,0.0,0.8213161660000001,0.9824187310000001,0.9951825150000001,0.9974228459999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2770,0.0,0.8277315809999999,0.9862520050000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2830,0.0,0.788943869,0.986616369,0.994062678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2790,0.0,0.7739830000000001,0.9798319070000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2980,0.0,0.823900684,0.9626618919999999,0.9909871540000001,0.990036018,0.992002166,1.0,1.0,1.0,1.0,0.9983301960000001,1.0,1.0,1.0,1.0,1.0,
3330,0.0,0.825622742,0.971699843,1.0,0.99909256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2860,0.0,0.7866146629999999,0.9651638389999999,0.994983021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3230,0.0,0.8397060959999999,0.982702179,0.998930913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3400,0.0,0.758874131,0.9874260009999999,0.9995868160000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2880,0.0,0.782255669,0.994755981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3040,0.0,0.8136955160000001,0.975306086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3170,0.0,0.8334577020000001,0.987027975,0.9970246169999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3370,0.0,0.7525464489999999,0.984203825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3260,0.0,0.8033213680000001,0.9810619770000001,1.0,0.995253619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3450,0.0,0.773891919,0.972037939,0.9950067279999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3280,0.0,0.779439363,0.928699125,0.994524048,0.993499752,0.9992910939999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2930,0.0,0.7630147709999999,0.962729603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2920,0.0,0.8330341310000001,0.966542915,0.9959176620000001,0.987515248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3140,0.0,0.8155090759999999,0.9814771130000001,1.0,0.996451684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2910,0.0,0.8062152040000001,0.989003987,0.988661377,0.990193146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3220,0.0,0.813040037,0.9782151320000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2890,0.0,0.763706708,0.9777845620000001,0.9989474099999999,0.991491525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2940,0.0,0.7670043430000001,0.963629828,0.996836661,1.0,0.9912071100000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3080,0.0,0.846642885,0.9646313870000001,0.9888771820000001,0.994208105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9924365999999999,
3510,0.0,0.741070867,0.9459875360000002,0.9957782789999999,1.0,1.0,0.9924766980000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999473948,
3360,0.0,0.792255637,0.984916861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989006313,
3190,0.0,0.8516818620000001,0.978046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3300,0.0,0.7895000729999999,0.9787547069999999,1.0,0.988948086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99495892,
3560,0.0,0.8160943270000001,0.966373545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3430,0.0,0.7498675429999999,0.9669039639999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3340,0.0,0.7332154510000001,0.939206765,0.992270654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2970,0.0,0.776329974,0.951024962,0.9855036479999999,0.992678103,0.994364775,1.0,1.0,1.0,0.999825553,1.0,1.0,1.0,1.0,1.0,0.993681424,
3200,0.0,0.7943333240000001,0.978452617,1.0,0.994009882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3570,0.0,0.757987653,0.9531432790000001,0.9795981109999999,1.0,1.0,0.9993550360000001,0.99689128,1.0,0.995891254,1.0,1.0,1.0,1.0,1.0,0.994635339,
3030,0.0,0.7862427299999999,0.967455734,0.9802692409999999,0.982514005,1.0,1.0,1.0,1.0,0.998662309,1.0,1.0,1.0,0.9970120789999999,1.0,0.9940762839999999,
3060,0.0,0.822162631,0.9634793150000001,0.991605979,0.989059576,0.9958349609999999,1.0,1.0,1.0,0.997778713,1.0,1.0,1.0,0.9965264210000001,1.0,0.989617563,
3240,0.0,0.810864643,0.968126322,1.0,0.9924253329999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9892157060000001,
3270,0.0,0.808063787,0.9577975049999999,1.0,0.9966000260000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991790383,
3970,0.0,0.778924904,0.9569846309999999,0.994261771,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2960,0.0,0.811031922,0.984754721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3290,0.0,0.75036839,0.982771008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3480,0.0,0.7782935889999999,0.9829484470000001,0.9864138279999999,0.9915162240000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996269480000001,
2850,0.0,0.750257059,0.980596832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3890,0.0,0.7682256209999999,0.9674657779999999,0.995115627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3160,0.0,0.856997436,0.9939028000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2950,0.0,0.801014458,0.9759097960000002,0.9869450839999999,0.9943298630000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3070,0.0,0.8468025029999999,0.9839436779999999,1.0,0.9982738470000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3530,0.0,0.786866489,0.981620916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3110,0.0,0.84186771,0.9655970299999999,1.0,0.991889968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3620,0.0,0.826237806,0.9738380459999998,0.9906514959999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3120,0.0,0.802758124,0.964314266,0.9949743209999999,0.9844097460000001,1.0,1.0,1.0,1.0,0.9990326939999999,1.0,1.0,1.0,0.9969697610000001,1.0,1.0,
3390,0.0,0.8381721360000001,0.9981551,0.999220678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3590,0.0,0.799683331,0.9893700280000001,0.9939111199999999,0.998006159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3780,0.0,0.7900848920000001,0.9619944029999999,0.9963093009999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3320,0.0,0.749459042,0.9759484100000002,0.985017079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3600,0.0,0.792724596,0.964745666,0.9882526370000001,0.992993549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3420,0.0,0.758795658,0.968861771,0.990787565,0.9995565479999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3210,0.0,0.79204864,0.963151524,0.990087705,0.9909755520000001,1.0,0.990797985,1.0,1.0,0.9994241580000001,1.0,1.0,1.0,1.0,1.0,1.0,
3870,0.0,0.801673614,0.9727063579999999,0.993231708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3660,0.0,0.8098384160000001,0.9544403050000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3490,0.0,0.750319711,0.9700402199999999,0.991480503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3680,0.0,0.8696255789999998,0.9610115050000001,1.0,0.9976093020000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3700,0.0,0.8308534809999999,0.971678758,0.9874885900000001,0.999573113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3310,0.0,0.729110272,0.95191791,0.9860454390000001,1.0,0.9974847539999999,0.9882506980000001,1.0,0.999118292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3150,0.0,0.805201237,0.96272608,1.0,0.991387345,1.0,1.0,1.0,1.0,0.998865975,1.0,1.0,1.0,1.0,1.0,1.0,
3090,0.0,0.8260989850000001,0.9608838879999999,0.992249184,0.9845248050000001,1.0,1.0,1.0,1.0,0.997015055,1.0,1.0,1.0,1.0,1.0,1.0,
3520,0.0,0.8191900530000001,0.971180085,0.998029547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3100,0.0,0.850332184,0.977561107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3350,0.0,0.746755694,0.9855261279999998,0.9923254719999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3000,0.0,0.7976010139999999,0.956553556,0.994301529,0.988120095,1.0,1.0,1.0,0.999505138,0.9982218270000001,1.0,0.999721141,1.0,1.0,0.999178124,1.0,
